age_calBP2000_top	age_calBP2000_bot	age_calBP	d18O_vsmow
11500	11550	11475	-38.99
11550	11600	11525	-40.22
11600	11650	11575	-40.22
11650	11700	11625	-39.71
11700	11750	11675	-40.84
11750	11800	11725	-41.04
11800	11850	11775	-40.41
11850	11900	11825	-39.95
11900	11950	11875	-41.22
11950	12000	11925	-41.38
12000	12050	11975	-40.63
12050	12100	12025	-40.39
12100	12150	12075	-40.76
12150	12200	12125	-41.37
12200	12250	12175	-40.97
12250	12300	12225	-41.06
12300	12350	12275	-40.54
12350	12400	12325	-40.82
12400	12450	12375	-41.67
12450	12500	12425	-41.11
12500	12550	12475	-42.21
12550	12600	12525	-40.86
12600	12650	12575	-40.18
12650	12700	12625	-39.53
12700	12750	12675	-39.03
12750	12800	12725	-38.76
12800	12850	12775	-39.38
12850	12900	12825	-39.88
12900	12950	12875	-40.07
12950	13000	12925	-41.07
13000	13050	12975	-40.05
13050	13100	13025	-40.20
13100	13150	13075	-39.07
13150	13200	13125	-39.19
13200	13250	13175	-38.57
13250	13300	13225	-38.44
13300	13350	13275	-38.61
13350	13400	13325	-38.01
13400	13450	13375	-38.52
13450	13500	13425	-39.25
13500	13550	13475	-39.77
13550	13600	13525	-38.74
13600	13650	13575	-38.25
13650	13700	13625	-39.08
13700	13750	13675	-38.38
13750	13800	13725	-38.08
13800	13850	13775	-38.39
13850	13900	13825	-39.46
13900	13950	13875	-40.11
13950	14000	13925	-39.71
14000	14050	13975	-38.25
14050	14100	14025	-38.14
14100	14150	14075	-37.89
14150	14200	14125	-37.59
14200	14250	14175	-37.21
14250	14300	14225	-37.17
14300	14350	14275	-36.95
14350	14400	14325	-37.29
14400	14450	14375	-36.26
14450	14500	14425	-36.25
14500	14550	14475	-36.40
14550	14600	14525	-37.47
14600	14650	14575	-40.06
14650	14700	14625	-41.75
14700	14750	14675	-40.58
14750	14800	14725	-41.60
14800	14850	14775	-41.13
14850	14900	14825	-41.56
14900	14950	14875	-42.31
14950	15000	14925	-42.03
15000	15050	14975	-42.06
15050	15100	15025	-42.01
15100	15150	15075	-42.23
15150	15200	15125	-42.55
15200	15250	15175	-40.78
15250	15300	15225	-42.38
15300	15350	15275	-42.00
15350	15400	15325	-42.55
15400	15450	15375	-43.48
15450	15500	15425	-42.76
15500	15550	15475	-41.94
15550	15600	15525	-43.63
15600	15650	15575	-43.29
15650	15700	15625	-41.41
15700	15750	15675	-41.92
15750	15800	15725	-41.69
15800	15850	15775	-41.88
15850	15900	15825	-41.53
15900	15950	15875	-43.56
15950	16000	15925	-42.18
16000	16050	15975	-42.41
16050	16100	16025	-41.45
16100	16150	16075	-42.01
16150	16200	16125	-41.61
16200	16250	16175	-41.68
16250	16300	16225	-40.80
16300	16350	16275	-41.00
16350	16400	16325	-41.82
16400	16450	16375	-41.36
16450	16500	16425	-41.17
16500	16550	16475	-40.44
16550	16600	16525	-40.31
16600	16650	16575	-41.90
16650	16700	16625	-41.28
16700	16750	16675	-40.42
16750	16800	16725	-40.42
16800	16850	16775	-40.45
16850	16900	16825	-40.99
16900	16950	16875	-40.76
16950	17000	16925	-41.02
17000	17050	16975	-42.02
17050	17100	17025	-41.14
17100	17150	17075	-40.27
17150	17200	17125	-40.18
17200	17250	17175	-41.44
17250	17300	17225	-40.66
17300	17350	17275	-41.15
17350	17400	17325	-41.88
17400	17450	17375	-42.16
17450	17500	17425	-42.60
17500	17550	17475	-41.80
17550	17600	17525	-42.53
17600	17650	17575	-41.83
17650	17700	17625	-41.35
17700	17750	17675	-42.07
17750	17800	17725	-42.47
17800	17850	17775	-42.63
17850	17900	17825	-42.35
17900	17950	17875	-42.25
17950	18000	17925	-41.69
18000	18050	17975	-40.73
18050	18100	18025	-41.66
18100	18150	18075	-40.93
18150	18200	18125	-41.45
18200	18250	18175	-42.09
18250	18300	18225	-41.28
18300	18350	18275	-41.04
18350	18400	18325	-41.89
18400	18450	18375	-41.32
18450	18500	18425	-42.19
18500	18550	18475	-41.71
18550	18600	18525	-42.34
18600	18650	18575	-42.48
18650	18700	18625	-42.31
18700	18750	18675	-41.37
18750	18800	18725	-42.18
18800	18850	18775	-42.82
18850	18900	18825	-41.26
18900	18950	18875	-41.97
18950	19000	18925	-41.52
19000	19050	18975	-41.13
19050	19100	19025	-41.05
19100	19150	19075	-41.36
19150	19200	19125	-42.82
19200	19250	19175	-40.88
19250	19300	19225	-40.98
19300	19350	19275	-42.60
19350	19400	19325	-41.77
19400	19450	19375	-42.57
19450	19500	19425	-42.18
19500	19550	19475	-42.22
19550	19600	19525	-41.73
19600	19650	19575	-42.29
19650	19700	19625	-42.01
19700	19750	19675	-42.90
19750	19800	19725	-43.20
19800	19850	19775	-43.34
19850	19900	19825	-42.38
19900	19950	19875	-42.76
19950	20000	19925	-43.87
20000	20050	19975	-42.03
20050	20100	20025	-41.01
20100	20150	20075	-41.79
20150	20200	20125	-42.28
20200	20250	20175	-42.11
20250	20300	20225	-42.70
20300	20350	20275	-42.49
20350	20400	20325	-42.75
20400	20450	20375	-44.28
20450	20500	20425	-42.61
20500	20550	20475	-43.15
20550	20600	20525	-42.06
20600	20650	20575	-42.96
20650	20700	20625	-43.29
20700	20750	20675	-42.14
20750	20800	20725	-42.41
20800	20850	20775	-42.77
20850	20900	20825	-42.07
20900	20950	20875	-43.05
20950	21000	20925	-42.14
21000	21050	20975	-41.71
21050	21100	21025	-42.65
21100	21150	21075	-42.95
21150	21200	21125	-43.75
21200	21250	21175	-42.91
21250	21300	21225	-43.28
21300	21350	21275	-42.36
21350	21400	21325	-41.85
21400	21450	21375	-42.83
21450	21500	21425	-41.87
21500	21550	21475	-42.03
21550	21600	21525	-41.59
21600	21650	21575	-41.56
21650	21700	21625	-42.14
21700	21750	21675	-42.34
21750	21800	21725	-42.90
21800	21850	21775	-42.40
21850	21900	21825	-42.31
21900	21950	21875	-43.01
21950	22000	21925	-42.24
22000	22050	21975	-42.38
22050	22100	22025	-43.48
22100	22150	22075	-41.22
22150	22200	22125	-41.20
22200	22250	22175	-42.49
22250	22300	22225	-41.87
22300	22350	22275	-41.18
22350	22400	22325	-42.27
22400	22450	22375	-42.11
22450	22500	22425	-42.76
22500	22550	22475	-42.47
22550	22600	22525	-41.76
22600	22650	22575	-41.07
22650	22700	22625	-39.76
22700	22750	22675	-41.92
22750	22800	22725	-43.46
22800	22850	22775	-42.00
22850	22900	22825	-43.68
22900	22950	22875	-43.61
22950	23000	22925	-43.77
23000	23050	22975	-43.67
23050	23100	23025	-44.07
23100	23150	23075	-43.12
23150	23200	23125	-43.72
23200	23250	23175	-44.19
23250	23300	23225	-43.53
23300	23350	23275	-43.57
23350	23400	23325	-42.65
23400	23450	23375	-43.14
23450	23500	23425	-43.74
23500	23550	23475	-43.55
23550	23600	23525	-43.82
23600	23650	23575	-44.32
23650	23700	23625	-43.80
23700	23750	23675	-42.62
23750	23800	23725	-43.54
23800	23850	23775	-43.41
23850	23900	23825	-43.50
23900	23950	23875	-43.20
23950	24000	23925	-42.70
24000	24050	23975	-43.60
24050	24100	24025	-44.23
24100	24150	24075	-43.04
24150	24200	24125	-43.84
24200	24250	24175	-44.06
24250	24300	24225	-43.89
24300	24350	24275	-44.49
24350	24400	24325	-42.67
24400	24450	24375	-42.74
24450	24500	24425	-43.43
24500	24550	24475	-44.21
24550	24600	24525	-43.39
24600	24650	24575	-42.79
24650	24700	24625	-44.00
24700	24750	24675	-43.45
24750	24800	24725	-42.93
24800	24850	24775	-44.13
24850	24900	24825	-44.86
24900	24950	24875	-42.36
24950	25000	24925	-43.39
25000	25050	24975	-43.44
25050	25100	25025	-44.56
25100	25150	25075	-44.76
25150	25200	25125	-44.18
25200	25250	25175	-43.73
25250	25300	25225	-44.76
25300	25350	25275	-44.37
25350	25400	25325	-43.45
25400	25450	25375	-43.45
25450	25500	25425	-44.76
25500	25550	25475	-42.46
25550	25600	25525	-43.24
25600	25650	25575	-42.27
25650	25700	25625	-42.76
25700	25750	25675	-43.18
25750	25800	25725	-42.79
25800	25850	25775	-42.67
25850	25900	25825	-42.44
25900	25950	25875	-42.94
25950	26000	25925	-43.79
26000	26050	25975	-45.62
26050	26100	26025	-44.40
26100	26150	26075	-43.54
26150	26200	26125	-43.17
26200	26250	26175	-43.36
26250	26300	26225	-44.16
26300	26350	26275	-44.07
26350	26400	26325	-43.23
26400	26450	26375	-43.91
26450	26500	26425	-43.47
26500	26550	26475	-42.54
26550	26600	26525	-43.97
26600	26650	26575	-43.97
26650	26700	26625	-42.36
26700	26750	26675	-42.63
26750	26800	26725	-43.45
26800	26850	26775	-43.35
26850	26900	26825	-43.08
26900	26950	26875	-44.06
26950	27000	26925	-44.40
27000	27050	26975	-44.58
27050	27100	27025	-43.61
27100	27150	27075	-43.03
27150	27200	27125	-41.42
27200	27250	27175	-40.72
27250	27300	27225	-39.62
27300	27350	27275	-39.40
27350	27400	27325	-38.37
27400	27450	27375	-43.20
27450	27500	27425	-43.72
27500	27550	27475	-43.82
27550	27600	27525	-43.85
27600	27650	27575	-44.84
27650	27700	27625	-44.20
27700	27750	27675	-44.58
27750	27800	27725	-44.05
27800	27850	27775	-44.15
27850	27900	27825	-44.48
27900	27950	27875	-43.75
27950	28000	27925	-44.70
28000	28050	27975	-43.59
28050	28100	28025	-43.78
28100	28150	28075	-44.28
28150	28200	28125	-43.20
28200	28250	28175	-43.23
28250	28300	28225	-40.58
28300	28350	28275	-40.33
28350	28400	28325	-40.45
28400	28450	28375	-40.36
28450	28500	28425	-39.02
28500	28550	28475	-40.23
28550	28600	28525	-42.50
28600	28650	28575	-43.60
28650	28700	28625	-44.37
28700	28750	28675	-44.08
28750	28800	28725	-44.54
28800	28850	28775	-43.71
28850	28900	28825	-44.13
28900	28950	28875	-44.32
28950	29000	28925	-43.65
29000	29050	28975	-43.51
29050	29100	29025	-44.14
29100	29150	29075	-45.07
29150	29200	29125	-44.35
29200	29250	29175	-45.82
29250	29300	29225	-44.57
29300	29350	29275	-45.22
29350	29400	29325	-44.39
29400	29450	29375	-44.15
29450	29500	29425	-44.31
29500	29550	29475	-44.51
29550	29600	29525	-44.06
29600	29650	29575	-43.98
29650	29700	29625	-44.83
29700	29750	29675	-44.47
29750	29800	29725	-45.11
29800	29850	29775	-44.22
29850	29900	29825	-44.37
29900	29950	29875	-45.09
29950	30000	29925	-43.74
30000	30050	29975	-44.04
30050	30100	30025	-44.88
30100	30150	30075	-43.76
30150	30200	30125	-43.35
30200	30250	30175	-43.83
30250	30300	30225	-42.23
30300	30350	30275	-42.37
30350	30400	30325	-43.00
30400	30450	30375	-43.85
30450	30500	30425	-43.12
30500	30550	30475	-43.65
30550	30600	30525	-44.24
30600	30650	30575	-44.21
30650	30700	30625	-43.66
30700	30750	30675	-43.89
30750	30800	30725	-43.58
30800	30850	30775	-43.28
30850	30900	30825	-44.29
30900	30950	30875	-44.13
30950	31000	30925	-43.22
31000	31050	30975	-43.74
31050	31100	31025	-44.21
31100	31150	31075	-43.46
31150	31200	31125	-43.08
31200	31250	31175	-44.40
31250	31300	31225	-43.69
31300	31350	31275	-44.02
31350	31400	31325	-43.95
31400	31450	31375	-43.09
31450	31500	31425	-43.68
31500	31550	31475	-43.39
31550	31600	31525	-44.07
31600	31650	31575	-43.65
31650	31700	31625	-43.96
31700	31750	31675	-43.40
31750	31800	31725	-43.57
31800	31850	31775	-41.55
31850	31900	31825	-41.70
31900	31950	31875	-40.61
31950	32000	31925	-40.30
32000	32050	31975	-40.43
32050	32100	32025	-40.40
32100	32150	32075	-39.94
32150	32200	32125	-39.88
32200	32250	32175	-38.92
32250	32300	32225	-42.28
32300	32350	32275	-43.91
32350	32400	32325	-43.81
32400	32450	32375	-44.18
32450	32500	32425	-44.26
32500	32550	32475	-43.77
32550	32600	32525	-44.17
32600	32650	32575	-44.69
32650	32700	32625	-45.14
32700	32750	32675	-43.84
32750	32800	32725	-42.97
32800	32850	32775	-43.48
32850	32900	32825	-43.68
32900	32950	32875	-43.81
32950	33000	32925	-43.26
33000	33050	32975	-43.21
33050	33100	33025	-43.56
33100	33150	33075	-44.19
33150	33200	33125	-43.14
33200	33250	33175	-41.10
33250	33300	33225	-40.38
33300	33350	33275	-39.92
33350	33400	33325	-39.66
33400	33450	33375	-39.82
33450	33500	33425	-39.78
33500	33550	33475	-39.03
33550	33600	33525	-41.04
33600	33650	33575	-41.91
33650	33700	33625	-42.70
33700	33750	33675	-42.73
33750	33800	33725	-43.26
33800	33850	33775	-43.32
33850	33900	33825	-42.49
33900	33950	33875	-42.92
33950	34000	33925	-42.72
34000	34050	33975	-42.85
34050	34100	34025	-42.59
34100	34150	34075	-43.38
34150	34200	34125	-43.09
34200	34250	34175	-42.81
34250	34300	34225	-42.61
34300	34350	34275	-42.97
34350	34400	34325	-43.38
34400	34450	34375	-42.98
34450	34500	34425	-41.93
34500	34550	34475	-42.20
34550	34600	34525	-40.05
34600	34650	34575	-40.50
34650	34700	34625	-40.40
34700	34750	34675	-40.77
34750	34800	34725	-41.17
34800	34850	34775	-40.99
34850	34900	34825	-40.30
34900	34950	34875	-39.35
34950	35000	34925	-40.17
35000	35050	34975	-39.67
35050	35100	35025	-39.80
35100	35150	35075	-39.36
35150	35200	35125	-39.51
35200	35250	35175	-39.24
35250	35300	35225	-38.78
35300	35350	35275	-38.63
35350	35400	35325	-39.86
35400	35450	35375	-42.62
35450	35500	35425	-42.74
35500	35550	35475	-42.83
35550	35600	35525	-42.60
35600	35650	35575	-41.95
35650	35700	35625	-42.58
35700	35750	35675	-43.43
35750	35800	35725	-44.52
35800	35850	35775	-44.52
35850	35900	35825	-42.59
35900	35950	35875	-43.13
35950	36000	35925	-43.32
36000	36050	35975	-42.93
36050	36100	36025	-42.81
36100	36150	36075	-42.43
36150	36200	36125	-42.75
36200	36250	36175	-43.32
36250	36300	36225	-42.88
36300	36350	36275	-42.00
36350	36400	36325	-43.06
36400	36450	36375	-42.12
36450	36500	36425	-41.75
36500	36550	36475	-43.23
36550	36600	36525	-42.21
36600	36650	36575	-40.82
36650	36700	36625	-41.05
36700	36750	36675	-41.09
36750	36800	36725	-41.26
36800	36850	36775	-40.40
36850	36900	36825	-41.54
36900	36950	36875	-41.31
36950	37000	36925	-41.52
37000	37050	36975	-41.01
37050	37100	37025	-41.33
37100	37150	37075	-40.96
37150	37200	37125	-40.21
37200	37250	37175	-40.02
37250	37300	37225	-39.59
37300	37350	37275	-39.93
37350	37400	37325	-39.28
37400	37450	37375	-40.29
37450	37500	37425	-40.21
37500	37550	37475	-38.77
37550	37600	37525	-39.28
37600	37650	37575	-38.74
37650	37700	37625	-39.15
37700	37750	37675	-38.90
37750	37800	37725	-38.71
37800	37850	37775	-39.04
37850	37900	37825	-39.12
37900	37950	37875	-39.03
37950	38000	37925	-39.41
38000	38050	37975	-39.05
38050	38100	38025	-38.64
38100	38150	38075	-38.50
38150	38200	38125	-38.97
38200	38250	38175	-38.20
38250	38300	38225	-38.13
38300	38350	38275	-38.99
38350	38400	38325	-41.76
38400	38450	38375	-42.30
38450	38500	38425	-42.78
38500	38550	38475	-42.26
38550	38600	38525	-42.15
38600	38650	38575	-42.76
38650	38700	38625	-42.81
38700	38750	38675	-42.71
38750	38800	38725	-42.77
38800	38850	38775	-43.71
38850	38900	38825	-43.21
38900	38950	38875	-43.19
38950	39000	38925	-43.09
39000	39050	38975	-42.63
39050	39100	39025	-42.50
39100	39150	39075	-42.11
39150	39200	39125	-43.91
39200	39250	39175	-43.54
39250	39300	39225	-44.16
39300	39350	39275	-43.05
39350	39400	39325	-43.27
39400	39450	39375	-43.62
39450	39500	39425	-43.35
39500	39550	39475	-43.03
39550	39600	39525	-43.57
39600	39650	39575	-42.66
39650	39700	39625	-43.49
39700	39750	39675	-43.67
39750	39800	39725	-42.01
39800	39850	39775	-43.88
39850	39900	39825	-42.68
39900	39950	39875	-42.96
39950	40000	39925	-43.24
40000	40050	39975	-43.23
40050	40100	40025	-43.33
40100	40150	40075	-42.23
40150	40200	40125	-41.09
40200	40250	40175	-40.75
40250	40300	40225	-40.34
40300	40350	40275	-40.18
40350	40400	40325	-42.77
40400	40450	40375	-42.20
40450	40500	40425	-42.44
40500	40550	40475	-42.21
40550	40600	40525	-42.42
40600	40650	40575	-42.20
40650	40700	40625	-42.29
40700	40750	40675	-42.08
40750	40800	40725	-42.90
40800	40850	40775	-43.34
40850	40900	40825	-43.32
40900	40950	40875	-43.01
40950	41000	40925	-43.67
41000	41050	40975	-43.77
41050	41100	41025	-42.30
41100	41150	41075	-42.00
41150	41200	41125	-41.95
41200	41250	41175	-41.67
41250	41300	41225	-40.80
41300	41350	41275	-40.01
41350	41400	41325	-39.76
41400	41450	41375	-40.43
41450	41500	41425	-39.43
41500	41550	41475	-40.07
41550	41600	41525	-39.33
41600	41650	41575	-39.57
41650	41700	41625	-38.92
41700	41750	41675	-39.05
41750	41800	41725	-42.07
41800	41850	41775	-42.37
41850	41900	41825	-43.01
41900	41950	41875	-42.19
41950	42000	41925	-42.60
42000	42050	41975	-42.44
42050	42100	42025	-43.29
42100	42150	42075	-42.82
42150	42200	42125	-42.48
42200	42250	42175	-43.48
42250	42300	42225	-42.49
42300	42350	42275	-43.17
42350	42400	42325	-42.77
42400	42450	42375	-42.67
42450	42500	42425	-41.73
42500	42550	42475	-42.46
42550	42600	42525	-42.20
42600	42650	42575	-40.87
42650	42700	42625	-40.97
42700	42750	42675	-40.92
42750	42800	42725	-41.11
42800	42850	42775	-41.62
42850	42900	42825	-41.17
42900	42950	42875	-41.12
42950	43000	42925	-40.63
43000	43050	42975	-40.05
43050	43100	43025	-39.93
43100	43150	43075	-39.70
43150	43200	43125	-39.68
43200	43250	43175	-39.40
43250	43300	43225	-39.46
43300	43350	43275	-38.98
43350	43400	43325	-38.48
43400	43450	43375	-38.76
43450	43500	43425	-39.46
43500	43550	43475	-40.01
43550	43600	43525	-39.57
43600	43650	43575	-39.30
43650	43700	43625	-39.97
43700	43750	43675	-41.86
43750	43800	43725	-42.60
43800	43850	43775	-43.09
43850	43900	43825	-43.14
43900	43950	43875	-43.90
43950	44000	43925	-43.88
44000	44050	43975	-43.15
44050	44100	44025	-42.11
44100	44150	44075	-42.31
44150	44200	44125	-42.48
44200	44250	44175	-42.03
44250	44300	44225	-42.59
44300	44350	44275	-43.57
44350	44400	44325	-42.29
44400	44450	44375	-42.21
44450	44500	44425	-42.97
44500	44550	44475	-43.42
44550	44600	44525	-43.18
44600	44650	44575	-42.10
44650	44700	44625	-43.34
44700	44750	44675	-42.45
44750	44800	44725	-41.73
44800	44850	44775	-40.57
44850	44900	44825	-39.89
44900	44950	44875	-40.24
44950	45000	44925	-40.89
45000	45050	44975	-41.86
45050	45100	45025	-41.82
45100	45150	45075	-40.91
45150	45200	45125	-40.72
45200	45250	45175	-41.27
45250	45300	45225	-41.07
45300	45350	45275	-42.03
45350	45400	45325	-41.18
45400	45450	45375	-40.70
45450	45500	45425	-40.73
45500	45550	45475	-40.98
45550	45600	45525	-40.60
45600	45650	45575	-40.75
45650	45700	45625	-40.23
45700	45750	45675	-40.94
45750	45800	45725	-41.08
45800	45850	45775	-40.82
45850	45900	45825	-40.26
45900	45950	45875	-39.46
45950	46000	45925	-40.16
46000	46050	45975	-40.20
46050	46100	46025	-39.47
46100	46150	46075	-39.51
46150	46200	46125	-39.57
46200	46250	46175	-39.45
46250	46300	46225	-39.37
46300	46350	46275	-39.59
46350	46400	46325	-39.24
46400	46450	46375	-39.80
46450	46500	46425	-39.37
46500	46550	46475	-38.41
46550	46600	46525	-39.01
46600	46650	46575	-39.05
46650	46700	46625	-38.98
46700	46750	46675	-38.66
46750	46800	46725	-38.93
46800	46850	46775	-39.11
46850	46900	46825	-39.13
46900	46950	46875	-38.98
46950	47000	46925	-38.02
47000	47050	46975	-38.49
47050	47100	47025	-39.17
47100	47150	47075	-38.03
47150	47200	47125	-38.09
47200	47250	47175	-37.71
47250	47300	47225	-38.19
47300	47350	47275	-37.35
47350	47400	47325	-40.26
47400	47450	47375	-42.32
47450	47500	47425	-42.78
47500	47550	47475	-42.87
47550	47600	47525	-42.58
47600	47650	47575	-42.15
47650	47700	47625	-43.07
47700	47750	47675	-42.70
47750	47800	47725	-43.16
47800	47850	47775	-42.48
47850	47900	47825	-42.00
47900	47950	47875	-42.87
47950	48000	47925	-43.63
48000	48050	47975	-43.61
48050	48100	48025	-42.80
48100	48150	48075	-41.98
48150	48200	48125	-42.02
48200	48250	48175	-43.16
48250	48300	48225	-43.83
48300	48350	48275	-43.48
48350	48400	48325	-42.91
48400	48450	48375	-42.31
48450	48500	48425	-43.18
48500	48550	48475	-42.92
48550	48600	48525	-42.98
48600	48650	48575	-43.13
48650	48700	48625	-44.06
48700	48750	48675	-43.90
48750	48800	48725	-43.48
48800	48850	48775	-43.49
48850	48900	48825	-42.80
48900	48950	48875	-42.44
48950	49000	48925	-42.13
49000	49050	48975	-41.59
49050	49100	49025	-40.95
49100	49150	49075	-41.17
49150	49200	49125	-41.30
49200	49250	49175	-41.22
49250	49300	49225	-40.92
49300	49350	49275	-41.16
49350	49400	49325	-40.23
49400	49450	49375	-39.84
49450	49500	49425	-39.73
49500	49550	49475	-39.62
49550	49600	49525	-40.90
49600	49650	49575	-42.11
49650	49700	49625	-39.81
49700	49750	49675	-39.48
49750	49800	49725	-39.51
49800	49850	49775	-41.41
49850	49900	49825	-41.85
49900	49950	49875	-42.38
